user_id,name,age,employment_status,monthly_income
1,Mary Jordan,52,Salaried,39624
2,Wendy Mann,52,Unemployed,29795
3,Sarah Wallace,57,Business,11885
4,Susan Williams,31,Salaried,52318
5,Michael Payne,27,Unemployed,55093
6,Ashley Mcintosh,49,Unemployed,25806
7,Chase Abbott,58,Salaried,40156
8,Anna Bentley MD,41,Unemployed,79478
9,Marcus Bailey,21,Salaried,30105
10,Leah Powell,36,Unemployed,48178
11,Gregory Hansen,38,Salaried,94934
12,Janet Mcdaniel,42,Unemployed,17301
13,Leroy Townsend,57,Unemployed,20503
14,Stephen Mora,36,Salaried,69187
15,Jacqueline Becker,32,Business,40563
16,Leslie Tucker,52,Salaried,54121
17,Jessica Webb,25,Salaried,63053
18,Heather Anderson,26,Unemployed,77339
19,Curtis Jones,37,Salaried,8901
20,Mary Lin MD,44,Business,73349
21,Kimberly Hayes,50,Salaried,69715
22,Scott Curtis,37,Unemployed,13886
23,Nicholas Williams,29,Salaried,85311
24,Holly Robinson,35,Salaried,29874
25,Kelly Freeman,24,Salaried,10718
26,Joshua Logan,43,Salaried,63528
27,Tamara Sims,44,Unemployed,51191
28,Gabriela Christian,49,Salaried,21695
29,George Robertson,35,Business,49390
30,Melanie Lawrence,55,Salaried,62804
31,Amber Williams,54,Business,75181
32,Michael Ruiz,56,Salaried,30730
33,Brandon Gordon,52,Salaried,60687
34,Elizabeth Vance,44,Unemployed,80634
35,Chad Johnson,50,Salaried,67026
36,Robert Alexander,34,Salaried,42245
37,Gina Hernandez,50,Salaried,39449
38,Sarah White,24,Business,14933
39,Theresa Moss,24,Salaried,43086
40,William Dixon,45,Business,79761
41,Marie Delacruz,53,Salaried,35877
42,Kimberly Thompson,51,Business,86873
43,Jay Hill,21,Business,26111
44,Tammy Barrett,52,Salaried,48562
45,Caitlin Mcpherson,58,Business,34302
46,Joshua Thomas,58,Salaried,54041
47,Craig Skinner,51,Salaried,79536
48,Amy Cooper,48,Business,74788
49,Sara Holt,40,Salaried,97841
50,Michael Moreno,54,Salaried,63345
51,Kathryn Trujillo,21,Salaried,38005
52,William Robinson,28,Salaried,85669
53,Patricia Hickman,53,Business,22269
54,Tiffany Decker,57,Salaried,57087
55,Alyssa Williams,28,Salaried,62971
56,Paul Reynolds,53,Unemployed,82749
57,Sheri Phillips,30,Unemployed,10887
58,Lori Wood,21,Salaried,96317
59,Daniel Adams,39,Business,83103
60,Steven Ruiz,51,Unemployed,46440
61,Donna Warren,43,Unemployed,80970
62,Sarah Perez DDS,42,Salaried,28638
63,Daniel Berger,50,Business,39897
64,Joshua Taylor,40,Salaried,19714
65,Tammy Brown,32,Salaried,98619
66,Zachary Warren,29,Unemployed,79552
67,Karen Watson,30,Salaried,98464
68,Kendra Little,55,Salaried,58391
69,Anne Zavala,46,Salaried,92414
70,Melanie Gross,51,Salaried,83050
71,James Martinez,44,Unemployed,52099
72,Joseph Wilson,42,Salaried,63563
73,Daniel York,45,Salaried,18336
74,Derek Welch,37,Business,26383
75,Dana Wright,53,Business,36961
76,Grace Moody,57,Unemployed,47894
77,John Hansen,41,Unemployed,9620
78,Denise Green,58,Salaried,62094
79,Stacy Miller,26,Business,80714
80,Stuart Martinez,59,Business,38524
81,David Luna,56,Business,11193
82,Michael Carter,24,Business,26401
83,Christopher Sanchez,34,Business,82003
84,Adam Moreno,50,Unemployed,15427
85,Mary Rodriguez,25,Salaried,91200
86,Rachel Adams,45,Unemployed,25939
87,Monique Mckee,40,Business,80341
88,Brian Peters,48,Salaried,68988
89,Matthew Brown,38,Salaried,63867
90,Miranda Lambert,59,Business,86875
